iter	Logloss
0	0.6913182905
1	0.6896238739
2	0.6876707265
3	0.6858169788
4	0.6843432467
5	0.6827181427
6	0.6809031958
7	0.6790949114
8	0.6774307346
9	0.6760624128
10	0.6743288909
11	0.6728427836
12	0.6711846918
13	0.6696970742
14	0.6684934461
15	0.6671181137
16	0.665702528
17	0.6642978201
18	0.6630791264
19	0.6615580605
20	0.6603437834
21	0.6587869779
22	0.6579591563
23	0.6568407918
24	0.6561325622
25	0.6548103674
26	0.6535223278
27	0.652290704
28	0.6513889995
29	0.6505156156
30	0.6499183555
31	0.6489033694
32	0.6479830779
33	0.6468815606
34	0.6459800219
35	0.6445732881
36	0.6433260575
37	0.6422537496
38	0.6411413409
39	0.6401515117
40	0.6391965312
41	0.6379837133
42	0.6369562865
43	0.6358611836
44	0.635116054
45	0.6337432167
46	0.6330160814
47	0.6323283375
48	0.6315327771
49	0.6304821331
50	0.6294060642
51	0.6284253849
52	0.6274838127
53	0.6268075939
54	0.6255590424
55	0.6251745687
56	0.6240041867
57	0.6234940555
58	0.6229222595
59	0.6220380731
60	0.6211822686
61	0.6205696782
62	0.6197571861
63	0.6191925359
64	0.618381257
65	0.6173002672
66	0.6163544308
67	0.6157714229
68	0.6152433798
69	0.6145272763
70	0.6136861855
71	0.6128914986
72	0.6120918082
73	0.6116479542
74	0.6112578147
75	0.6106943707
76	0.6101619257
77	0.6093324328
78	0.6086021235
79	0.6081396202
80	0.6070616834
81	0.6061000229
82	0.6051756211
83	0.6048481741
84	0.6043481143
85	0.6036014503
86	0.6028315782
87	0.6025165264
88	0.6017784931
89	0.6011068888
90	0.6005126249
91	0.6000927243
92	0.5992715527
93	0.5984502785
94	0.5976729199
95	0.596839218
96	0.5957746803
97	0.595408135
98	0.5950177894
99	0.5942323464
100	0.5939540619
101	0.5929799073
102	0.5923511779
103	0.5917599813
104	0.5912174618
105	0.5905482863
106	0.5900481847
107	0.5895876046
108	0.5889335139
109	0.5883620864
110	0.5879268254
111	0.5873242486
112	0.5867982054
113	0.5862390748
114	0.5855031165
115	0.5849640157
116	0.5843841067
117	0.583763971
118	0.5830922101
119	0.5825759703
120	0.5817385196
121	0.5813431173
122	0.580537482
123	0.5800339594
124	0.5792900881
125	0.5785873633
126	0.5778070415
127	0.5769248815
128	0.5766805215
129	0.5760644445
130	0.5756104124
131	0.5750798275
132	0.5747347419
133	0.574484901
134	0.5737236777
135	0.5727185016
136	0.5721318453
137	0.5717858137
138	0.5711827399
