iter	Passed	Remaining
0	57	57273
1	63	31925
2	70	23388
3	76	19129
4	83	16559
5	89	14771
6	95	13518
7	101	12595
8	107	11837
9	113	11279
10	120	10797
11	126	10380
12	132	10032
13	138	9745
14	144	9477
15	150	9240
16	156	9053
17	162	8872
18	168	8708
19	175	8582
20	180	8431
21	186	8307
22	192	8185
23	198	8075
24	204	7967
25	210	7881
26	216	7805
27	222	7729
28	228	7650
29	234	7578
30	240	7511
31	246	7444
32	252	7395
33	258	7338
34	264	7286
35	270	7231
36	275	7182
37	282	7141
38	288	7097
39	293	7051
40	299	7013
41	305	6976
42	311	6941
43	317	6906
44	323	6873
45	330	6843
46	335	6807
47	341	6772
48	347	6741
49	353	6713
50	359	6686
51	365	6659
52	370	6627
53	376	6596
54	382	6573
55	388	6544
56	394	6521
57	400	6497
58	405	6471
59	411	6447
60	417	6430
61	423	6409
62	429	6389
63	435	6368
64	441	6347
65	447	6329
66	453	6308
67	458	6286
68	464	6273
69	470	6252
70	476	6238
71	482	6222
72	488	6202
73	494	6182
74	499	6165
75	505	6147
76	511	6133
77	517	6120
78	523	6104
79	529	6088
80	535	6076
81	541	6063
82	547	6051
83	553	6033
84	559	6019
85	565	6006
86	570	5992
87	576	5977
88	582	5966
89	588	5950
90	594	5935
91	599	5920
92	605	5908
93	611	5895
94	617	5882
95	623	5871
96	629	5857
97	634	5843
98	640	5830
99	646	5819
100	652	5805
101	658	5794
102	663	5781
103	669	5767
104	675	5754
105	681	5744
106	686	5733
107	692	5720
108	698	5710
109	704	5700
110	710	5688
111	716	5679
112	722	5668
113	728	5658
114	733	5646
115	739	5633
116	745	5623
117	751	5613
118	756	5603
119	762	5593
120	768	5583
121	774	5573
122	780	5563
123	786	5553
124	792	5544
125	798	5535
126	804	5526
127	810	5519
128	815	5506
129	821	5498
130	827	5488
131	833	5479
132	838	5468
133	844	5456
134	850	5448
135	856	5442
136	862	5432
137	868	5422
138	874	5414
